scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
000930,中粮生化,A股,深交所主板,2013-06-27T00:00:00,2007-12-31T00:00:00,0.0267,-0.0775,4178145874.1,-7.4048,6.1651,25758639.98,107.6459,695.0776,1.43,1.88300372,1.125374,-7.0102,农牧饲渔,不分配不转增,-,058001001,069001002001,2008-04-08T00:00:00
601319,中国人保,A股,上交所主板,2011-09-26T00:00:00,2007-12-31T00:00:00,-,-,83892288029.4,-,-,1590708032.79,-,-,-,1.41849977,-,-,保险,-,-,058001001,069001001001,2009-09-04T00:00:00
002593,日上集团,A股,深交所中小板,2011-06-08T00:00:00,2007-12-31T00:00:00,0.49,0.49,636840974.93,-,-,27066029.22,-,-,18.3,2.59229056,0.175931,14.9827,钢铁行业,-,-,058001001,069001002003,2011-06-08T00:00:00
603993,洛阳钼业,A股,上交所主板,2011-05-26T00:00:00,2007-12-31T00:00:00,-,-,5898973183.11,-,-,2145364413.29,-,-,-,2.12651862,0.380372,68.1528,有色金属,-,-,058001001,069001001001,2011-05-26T00:00:00
601838,成都银行,A股,上交所主板,2011-05-23T00:00:00,2007-12-31T00:00:00,0.25,-,1621823000.0,38.6502,-,314056000.0,2434.5316,-,-,0.4305567,2.477134,-,银行,-,-,058001001,069001001001,2008-06-26T00:00:00
002581,未名医药,A股,深交所中小板,2011-04-26T00:00:00,2007-12-31T00:00:00,0.47,0.49,150029741.17,-,-,32632816.12,-,-,44.31,8.39,2.51,39.5807,医药制造,-,-,058001001,069001002003,2011-04-26T00:00:00
601669,中国电建,A股,上交所主板,2011-04-22T00:00:00,2007-12-31T00:00:00,-,-,50621543240.19,-,-,1818910050.17,-,-,-,1.62805224,0.743014,13.2608,工程建设,-,-,058001001,069001001001,2011-04-22T00:00:00
300388,国祯环保,A股,深交所创业板,2011-04-21T00:00:00,2007-12-31T00:00:00,-,-,260495662.88,-,-,-,-,-,-,3.62402914,1.413388,35.29,环保工程,-,-,058001001,069001002002,2011-04-21T00:00:00
300211,亿通科技,A股,深交所创业板,2011-04-15T00:00:00,2007-12-31T00:00:00,0.41,0.41,135197847.48,-,-,12487504.51,-,-,26.58,1.97,0.57,27.345,通讯行业,-,-,058001001,069001002002,2011-04-15T00:00:00
300237,美晨生态,A股,深交所创业板,2011-04-15T00:00:00,2007-12-31T00:00:00,0.99,0.99,118350531.6,-,-,17056973.89,-,-,64.87,1.68,-0.07,30.4902,园林工程,-,-,058001001,069001002002,2011-04-15T00:00:00
002576,通达动力,A股,深交所中小板,2011-04-12T00:00:00,2007-12-31T00:00:00,0.48,0.49,377350164.98,-,-,33396832.46,-,-,55.21,2.43151411,1.01,17.994,输配电气,-,-,058001001,069001002003,2011-04-12T00:00:00
300381,溢多利,A股,深交所创业板,2011-04-08T00:00:00,2007-12-31T00:00:00,0.295,0.25,85691585.68,-,-,11507252.76,-,-,16.24,1.91,0.38,54.5987,农牧饲渔,-,-,058001001,069001002002,2011-04-08T00:00:00
300240,飞力达,A股,深交所创业板,2011-04-08T00:00:00,2007-12-31T00:00:00,0.4,0.4,546267112.87,-,-,32221972.3,-,-,33.85,1.29,0.8,29.2486,交运物流,-,-,058001001,069001002002,2011-04-08T00:00:00
300225,金力泰,A股,深交所创业板,2011-03-25T00:00:00,2007-12-31T00:00:00,0.65,0.66,274064840.18,-,-,32436081.95,-,-,35.56,2.03,0.4,29.6473,化工行业,-,-,058001001,069001002002,2011-03-25T00:00:00
300198,纳川股份,A股,深交所创业板,2011-03-18T00:00:00,2007-12-31T00:00:00,0.147,0.15,48230575.47,-,-,5131870.02,-,-,41.57,1.49,0.19,34.4273,水泥建材,-,-,058001001,069001002002,2011-03-18T00:00:00
300197,铁汉生态,A股,深交所创业板,2011-03-11T00:00:00,2007-12-31T00:00:00,0.51,0.46,92158081.43,-,-,8821300.71,-,-,44.24,1.71,-0.05,27.7406,园林工程,-,-,058001001,069001002002,2010-12-10T00:00:00
300282,三盛教育,A股,深交所创业板,2011-03-04T00:00:00,2007-12-31T00:00:00,0.25,0.23,32187938.19,-,-,7923672.11,-,-,46.55,2.52,1.4,57.9632,电子信息,-,-,058001001,069001002002,2011-03-04T00:00:00
300189,神农基因,A股,深交所创业板,2011-02-25T00:00:00,2007-12-31T00:00:00,0.0918,0.08,149519265.23,-,-,8441552.54,-,-,16.12,1.23,0.09,24.7345,农牧饲渔,-,-,058001001,069001002002,2011-01-14T00:00:00
300188,美亚柏科,A股,深交所创业板,2011-02-25T00:00:00,2007-12-31T00:00:00,0.33,0.32,67405370.6,-,-,13160575.4,-,-,46.8,0.87,0.38,49.2067,软件服务,-,-,058001001,069001002002,2011-02-25T00:00:00
603328,依顿电子,A股,上交所主板,2011-02-24T00:00:00,2007-12-31T00:00:00,0.4,0.4,1415038461.25,-,-,158929975.76,-,-,36.4,1.46,0.59,17.7672,电子元件,-,-,058001001,069001001001,2011-02-24T00:00:00
002564,天沃科技,A股,深交所中小板,2011-02-22T00:00:00,2007-12-31T00:00:00,0.36,0.35,591175128.06,-,-,42064574.25,-,-,77.52,6.27,7.85,16.2254,机械行业,-,-,058001001,069001002003,2011-02-22T00:00:00
300187,永清环保,A股,深交所创业板,2011-02-17T00:00:00,2007-12-31T00:00:00,0.36,0.27,171744810.54,-,-,17817244.11,-,-,25.89,1.23,1.55,23.6354,环保工程,-,-,058001001,069001002002,2011-02-17T00:00:00
601985,中国核电,A股,上交所主板,2011-02-17T00:00:00,2007-12-31T00:00:00,-,-,10807887992.36,-,-,315686121.23,-,-,-,-,-,45.2202,机械行业,-,-,058001001,069001001001,2011-01-12T00:00:00
300185,通裕重工,A股,深交所创业板,2011-02-17T00:00:00,2007-12-31T00:00:00,0.37,0.36,625319547.26,-,-,98986614.1,-,-,46.2,0.89,0.42,34.7121,机械行业,-,-,058001001,069001002002,2011-02-17T00:00:00
300226,上海钢联,A股,深交所创业板,2011-02-16T00:00:00,2007-12-31T00:00:00,0.95,0.74,55835401.87,-,-,14228105.75,-,-,103.23,2.32193709,-3.913232,71.6193,电子信息,-,-,058001001,069001002002,2011-02-16T00:00:00
601116,三江购物,A股,上交所主板,2011-02-11T00:00:00,2007-12-31T00:00:00,0.25,0.16,3203918942.24,-,-,80456393.66,-,-,40.45,2.42,2.97,15.5018,商业百货,-,-,058001001,069001001001,2011-02-11T00:00:00
002556,辉隆股份,A股,深交所中小板,2011-02-11T00:00:00,2007-12-31T00:00:00,0.85,0.73,4319494772.52,-,-,50933346.78,-,-,49.48,2.09162634,-5.46,5.1426,农牧饲渔,-,-,058001001,069001002003,2011-02-11T00:00:00
002558,巨人网络,A股,深交所中小板,2011-02-11T00:00:00,2007-12-31T00:00:00,0.59,0.4501,161108315.9,-,-,26145853.97,-,-,28.87,2.26,0.99,30.313,文教休闲,-,-,058001001,069001002003,2011-02-11T00:00:00
002553,南方轴承,A股,深交所中小板,2011-01-31T00:00:00,2007-12-31T00:00:00,0.43,0.34,159742098.54,-,-,27964966.63,-,-,30.29,1.21645382,0.39,32.9601,汽车行业,-,-,058001001,069001002003,2011-01-31T00:00:00
601992,金隅集团,A股,上交所主板,2011-01-31T00:00:00,2007-12-31T00:00:00,0.35,0.17,8368766200.36,24.9065,-,624518575.67,2741.0901,-,17.47,2.16,-0.56,24.2169,水泥建材,-,-,058001001,069001001001,2010-09-17T00:00:00
002552,*ST宝鼎,A股,深交所风险警示板,2011-01-31T00:00:00,2007-12-31T00:00:00,0.59,0.0,308674432.22,-,-,44396118.77,-,-,31.51,3.17728844,1.203196,19.5519,船舶制造,-,-,058001001,069001002005,2011-01-31T00:00:00
002554,惠博普,A股,深交所中小板,2011-01-31T00:00:00,2007-12-31T00:00:00,2.74,1.99,151717803.15,-,-,24693860.13,-,-,38.91,6.19971614,0.33,37.7698,石油行业,-,-,058001001,069001002003,2011-01-31T00:00:00
002551,尚荣医疗,A股,深交所中小板,2011-01-31T00:00:00,2007-12-31T00:00:00,0.46,0.34,116371490.6,-,-,22011923.52,-,-,30.35,2.57,0.8,39.2258,医疗行业,-,-,058001001,069001002003,2011-01-31T00:00:00
601225,陕西煤业,A股,上交所主板,2011-01-30T00:00:00,2007-12-31T00:00:00,-,-,8303212816.58,-,-,529099095.65,-,-,-,1.21182302,0.208606,-,煤炭采选,-,-,058001001,069001001001,2011-01-30T00:00:00
300181,佐力药业,A股,深交所创业板,2011-01-26T00:00:00,2007-12-31T00:00:00,0.23,0.17,126585142.84,-,-,13894153.19,-,-,9.48,1.2,0.13,67.7948,医药制造,-,-,058001001,069001002002,2011-01-26T00:00:00
300182,捷成股份,A股,深交所创业板,2011-01-26T00:00:00,2007-12-31T00:00:00,0.29,0.29,71959771.43,-,-,10492460.93,-,-,79.62,0.59,0.03,30.8434,软件服务,-,-,058001001,069001002002,2011-01-26T00:00:00
300183,东软载波,A股,深交所创业板,2011-01-26T00:00:00,2007-12-31T00:00:00,0.92,0.09,63121571.27,-,-,26273049.04,-,-,56.54,3.12,0.84,48.5003,电子信息,-,-,058001001,069001002002,2011-01-26T00:00:00
300184,力源信息,A股,深交所创业板,2011-01-26T00:00:00,2007-12-31T00:00:00,0.47,0.38,90580709.45,-,-,14172708.2,-,-,49.33,1.25,-0.14,28.2574,电子元件,-,-,058001001,069001002002,2011-01-26T00:00:00
300180,华峰超纤,A股,深交所创业板,2011-01-26T00:00:00,2007-12-31T00:00:00,0.39,0.23,398935476.2,-,-,41991722.51,-,-,21.61,1.99,0.41,14.2159,塑胶制品,-,-,058001001,069001002002,2011-01-26T00:00:00
002549,凯美特气,A股,深交所中小板,2011-01-24T00:00:00,2007-12-31T00:00:00,0.8,0.68,70029214.63,50.8177,-,26812849.4,101.4877,-,53.11,1.32773046,0.58,80.9674,化工行业,-,-,058001001,069001002003,2011-01-24T00:00:00
002548,金新农,A股,深交所中小板,2011-01-24T00:00:00,2007-12-31T00:00:00,0.31,0.2,575524148.57,-,-,22044918.24,-,-,31.12,0.86,0.23,13.0083,农牧饲渔,-,-,058001001,069001002003,2011-01-24T00:00:00
002550,千红制药,A股,深交所中小板,2011-01-24T00:00:00,2007-12-31T00:00:00,0.38,0.38,285596136.6,-,-,45625390.44,-,-,23.56,1.76,0.3,38.1601,医疗行业,-,-,058001001,069001002003,2011-01-24T00:00:00
600939,重庆建工,A股,上交所主板,2011-01-24T00:00:00,2007-12-31T00:00:00,0.1,-,13212103141.85,46.8175,7.285,111389527.5,-,-87.9275,-,1.16490171,-0.110503,7.4814,工程建设,-,-,058001001,069001001001,2008-04-29T00:00:00
002571,德力股份,A股,深交所中小板,2011-01-21T00:00:00,2007-12-31T00:00:00,0.5,0.49,230676074.21,-,-,22822797.77,-,-,34.79,1.62353155,0.41,28.1968,玻璃陶瓷,-,-,058001001,069001002003,2011-01-21T00:00:00
300199,翰宇药业,A股,深交所创业板,2011-01-21T00:00:00,2007-12-31T00:00:00,0.94,1.27,56201632.89,-,-,15232199.02,-,-,42.29,4.87,4.9,55.8805,医药制造,-,-,058001001,069001002002,2011-01-21T00:00:00
002563,森马服饰,A股,深交所中小板,2011-01-20T00:00:00,2007-12-31T00:00:00,0.32,0.08,1822236647.4,-,-,150047830.59,-,-,54.54,7.05894584,0.7,26.0927,纺织服装,-,-,058001001,069001002003,2011-01-20T00:00:00
300204,舒泰神,A股,深交所创业板,2011-01-20T00:00:00,2007-12-31T00:00:00,0.09,0.108,24090963.92,-,-,3761457.58,-,-,18.01,0.97,0.15,65.1519,医药制造,-,-,058001001,069001002002,2011-01-20T00:00:00
300214,日科化学,A股,深交所创业板,2011-01-20T00:00:00,2007-12-31T00:00:00,0.17,0.18,345332102.4,-,-,9896245.0,-,-,15.51,1.71,-0.53,11.3368,塑胶制品,-,-,058001001,069001002002,2011-01-20T00:00:00
300177,中海达,A股,深交所创业板,2011-01-19T00:00:00,2007-12-31T00:00:00,4.4,4.09,101455325.28,-,-,15364565.24,-,-,82.44,0.52,0.36,30.3453,通讯行业,-,-,058001001,069001002002,2011-01-19T00:00:00
300176,鸿特科技,A股,深交所创业板,2011-01-19T00:00:00,2007-12-31T00:00:00,0.3127,0.3014,198464958.63,-,-,20640790.98,-,-,21.37,1.57,0.47,28.8213,汽车行业,-,-,058001001,069001002002,2011-01-19T00:00:00
300178,腾邦国际,A股,深交所创业板,2011-01-19T00:00:00,2007-12-31T00:00:00,0.53,0.53,73469985.72,-,-,36315410.23,-,-,58.73,3.03,1.81,88.4595,旅游酒店,-,-,058001001,069001002002,2011-01-19T00:00:00
300175,朗源股份,A股,深交所创业板,2011-01-19T00:00:00,2007-12-31T00:00:00,0.34,0.38,285795704.03,-,-,22722508.71,-,-,31.68,1.65,1.06,17.0264,农牧饲渔,-,-,058001001,069001002002,2011-01-19T00:00:00
300179,四方达,A股,深交所创业板,2011-01-19T00:00:00,2007-12-31T00:00:00,-,0.0,57861057.31,-,-,12644168.13,-,-,49.97,1.64487374,0.082337,43.2331,材料行业,-,-,058001001,069001002002,2011-01-19T00:00:00
601799,星宇股份,A股,上交所主板,2011-01-17T00:00:00,2007-12-31T00:00:00,0.3672,0.3482,445568136.03,-,-,59333391.89,-,-,35.53,1.1496,0.2543,25.171,汽车行业,-,-,058001001,069001001001,2011-01-17T00:00:00
002545,东方铁塔,A股,深交所中小板,2011-01-17T00:00:00,2007-12-31T00:00:00,0.4867,0.4429,1101815822.51,-,-,55586324.53,-,-,35.49,1.59066629,-0.04,15.8568,水泥建材,-,-,058001001,069001002003,2011-01-17T00:00:00
002546,新联电子,A股,深交所中小板,2011-01-17T00:00:00,2007-12-31T00:00:00,0.71,0.67,147657345.1,-,-,39346598.19,-,-,46.03,1.32,0.37,48.8345,输配电气,-,-,058001001,069001002003,2011-01-17T00:00:00
601616,广电电气,A股,上交所主板,2011-01-17T00:00:00,2007-12-31T00:00:00,0.2099,0.1598,956550973.39,-,-,86695346.34,-,-,40.27,1.06,0.08,17.9527,输配电气,-,-,058001001,069001001001,2011-01-17T00:00:00
300171,东富龙,A股,深交所创业板,2011-01-14T00:00:00,2007-12-31T00:00:00,0.77,0.51,167224594.18,-,-,45975216.26,-,-,40.97,1.89,0.54,37.6387,医疗行业,-,-,058001001,069001002002,2011-01-14T00:00:00
300172,中电环保,A股,深交所创业板,2011-01-14T00:00:00,2007-12-31T00:00:00,0.42,0.37,212649836.92,-,-,29819080.73,-,-,33.72,1.37,0.05,24.0832,环保工程,-,-,058001001,069001002002,2011-01-14T00:00:00
300375,鹏翎股份,A股,深交所创业板,2011-01-14T00:00:00,2007-12-31T00:00:00,0.56,0.52,294653216.03,-,-,38768988.36,-,-,23.89,3.1,1.0,25.8031,汽车行业,-,-,058001001,069001002002,2011-01-14T00:00:00
300192,科斯伍德,A股,深交所创业板,2011-01-14T00:00:00,2007-12-31T00:00:00,0.23,0.23,110944810.75,-,-,9326755.53,-,-,20.15,1.19,0.08,23.9594,化工行业,-,-,058001001,069001002002,2011-01-14T00:00:00
300174,元力股份,A股,深交所创业板,2011-01-14T00:00:00,2007-12-31T00:00:00,0.9305,0.9054,68025453.13,-,-,10235166.45,-,-,47.66,1.74,0.42,27.358,化工行业,-,-,058001001,069001002002,2011-01-14T00:00:00
300170,汉得信息,A股,深交所创业板,2011-01-14T00:00:00,2007-12-31T00:00:00,0.4,0.36,205236230.63,-,-,33975420.15,-,-,58.19,0.88,0.08,35.6796,软件服务,-,-,058001001,069001002002,2011-01-14T00:00:00
300173,智慧松德,A股,深交所创业板,2011-01-14T00:00:00,2007-12-31T00:00:00,0.52,0.42,131238645.92,-,-,20338317.79,-,-,53.25,1.37,-0.07,34.2968,机械行业,-,-,058001001,069001002002,2011-01-14T00:00:00
002577,雷柏科技,A股,深交所中小板,2011-01-13T00:00:00,2007-12-31T00:00:00,0.39,0.3993,269427072.96,-,-,28227552.66,-,-,89.7,5.51564193,0.26,15.4535,电子信息,-,-,058001001,069001002003,2011-01-13T00:00:00
002565,顺灏股份,A股,深交所中小板,2011-01-13T00:00:00,2007-12-31T00:00:00,0.61,0.58,560740678.97,-,-,61352604.52,-,-,89.62,7.92,0.71,18.0712,包装材料,-,-,058001001,069001002003,2011-01-13T00:00:00
601519,大智慧,A股,上交所主板,2011-01-11T00:00:00,2007-12-31T00:00:00,0.071,0.07,158477832.71,-,-,36521649.99,-,-,82.8,3.12,0.14,65.048,软件服务,-,-,058001001,069001001001,2011-01-11T00:00:00
002543,万和电气,A股,深交所中小板,2011-01-11T00:00:00,2007-12-31T00:00:00,0.29,0.26,1314459471.02,-,-,24796061.83,-,-,24.69,1.27,0.62,15.7994,家电行业,-,-,058001001,069001002003,2011-01-11T00:00:00
002544,杰赛科技,A股,深交所中小板,2011-01-11T00:00:00,2007-12-31T00:00:00,0.61,0.35,591313970.39,15.5208,-,39257095.53,26.6174,-,22.86,2.96650169,0.48,27.345,通讯行业,-,-,058001001,069001002003,2011-01-11T00:00:00
002542,中化岩土,A股,深交所中小板,2011-01-11T00:00:00,2007-12-31T00:00:00,0.14,0.12,117494746.89,-,-,6816031.87,-,-,32.47,0.48,0.37,20.2473,工程建设,-,-,058001001,069001002003,2011-01-11T00:00:00
601137,博威合金,A股,上交所主板,2011-01-11T00:00:00,2007-12-31T00:00:00,3.33,4.31,1478827434.42,-,-,75674332.41,-,-,22.25,25.71,6.81,11.3394,有色金属,-,-,058001001,069001001001,2011-01-11T00:00:00
601258,庞大集团,A股,上交所主板,2011-01-10T00:00:00,2007-12-31T00:00:00,0.48,0.44,19730937500.0,-,-,437735415.0,-,-,62.0,1.65,2.34,8.2967,商业百货,-,-,058001001,069001001001,2011-01-10T00:00:00
002560,通达股份,A股,深交所中小板,2011-01-10T00:00:00,2007-12-31T00:00:00,0.57,0.57,575085629.45,-,-,33500499.4,-,-,32.55,2.03,0.19,11.4741,输配电气,-,-,058001001,069001002003,2011-01-10T00:00:00
601011,宝泰隆,A股,上交所主板,2011-01-06T00:00:00,2007-12-31T00:00:00,0.31,0.32,671652744.56,-,-,78396768.69,-,-,29.77,2.07054326,0.26,25.4401,煤炭采选,-,-,058001001,069001001001,2011-01-06T00:00:00
300169,天晟新材,A股,深交所创业板,2011-01-06T00:00:00,2007-12-31T00:00:00,-,0.0,200429989.71,-,-,29511380.61,-,-,77.02,10.95197877,5.882938,28.4353,塑胶制品,-,-,058001001,069001002002,2011-01-06T00:00:00
300167,迪威迅,A股,深交所创业板,2011-01-06T00:00:00,2007-12-31T00:00:00,0.61,0.0,81122953.76,-,-,17879092.24,-,-,30.88,1.85,0.45,40.6163,安防设备,-,-,058001001,069001002002,2011-01-06T00:00:00
300166,东方国信,A股,深交所创业板,2011-01-06T00:00:00,2007-12-31T00:00:00,0.87,0.83,31403283.2,-,-,4347818.3,-,-,32.29,3.13,-0.1,44.1932,软件服务,-,-,058001001,069001002002,2011-01-06T00:00:00
300168,万达信息,A股,深交所创业板,2011-01-06T00:00:00,2007-12-31T00:00:00,0.3761,0.3202,301695869.04,-,-,30055628.27,-,-,20.59,2.1,0.07,28.7154,软件服务,-,-,058001001,069001002002,2011-01-06T00:00:00
300165,天瑞仪器,A股,深交所创业板,2011-01-06T00:00:00,2007-12-31T00:00:00,-,0.0,99266497.59,-,-,56887710.54,-,-,65.37,11.54676804,5.289557,73.0008,仪器仪表,-,-,058001001,069001002002,2011-01-06T00:00:00
300190,维尔利,A股,深交所创业板,2010-12-31T00:00:00,2007-12-31T00:00:00,0.06,0.06,14419262.62,-,-,428415.38,-,-,8.47,1.09,-0.53,31.2566,环保工程,-,-,058001001,069001002002,2010-12-31T00:00:00
002538,司尔特,A股,深交所中小板,2010-12-28T00:00:00,2007-12-31T00:00:00,0.43,0.45,912554397.69,57.3663,-,47250868.05,288.0051,-,35.73,1.38,1.19,16.8668,化肥行业,-,-,058001001,069001002003,2010-12-28T00:00:00
601700,风范股份,A股,上交所主板,2010-12-28T00:00:00,2007-12-31T00:00:00,0.38,0.31,733290454.32,-,-,22763391.8,-,-,17.54,1.95,-0.09,16.2733,输配电气,-,-,058001001,069001001001,2010-12-28T00:00:00
002540,亚太科技,A股,深交所中小板,2010-12-28T00:00:00,2007-12-31T00:00:00,0.46,0.44,780361878.54,-,-,49375668.0,-,-,30.92,2.91,0.37,16.218,有色金属,-,-,058001001,069001002003,2010-12-28T00:00:00
002539,云图控股,A股,深交所中小板,2010-12-28T00:00:00,2007-12-31T00:00:00,0.747,0.665,1315368463.77,-,-,87114446.44,-,-,36.13,2.65572035,0.39,14.9322,化肥行业,-,-,058001001,069001002003,2010-12-28T00:00:00
002541,鸿路钢构,A股,深交所中小板,2010-12-28T00:00:00,2007-12-31T00:00:00,0.3706,0.3386,895954952.77,-,-,37059533.69,-,-,28.12,1.46056362,0.15,12.1633,水泥建材,-,-,058001001,069001002003,2010-12-28T00:00:00
300345,红宇新材,A股,深交所创业板,2010-12-27T00:00:00,2007-12-31T00:00:00,0.12,0.1,48312115.09,-,-,4756706.16,-,-,10.62,0.66,-0.11,29.4639,金属制品,-,-,058001001,069001002002,2010-12-27T00:00:00
300196,长海股份,A股,深交所创业板,2010-12-27T00:00:00,2007-12-31T00:00:00,0.13,0.12,162142877.04,-,-,8677705.44,-,-,16.03,0.87,-0.13,22.5428,材料行业,-,-,058001001,069001002002,2010-12-27T00:00:00
